_id,Parent Asset Name,Asset ID,Asset Name,Public Name,Pad Length,Pad Width,Permit Classification,Ice Pad Size Category,Operated By,Boards (Ice Rink),Address,Postal Code,Community Council Area,Ward,geometry
1,AGINCOURT RECREATION CENTRE,17360,AGINCOURT RECREATION CENTRE - Indoor Ice Pad (1),AGINCOURT RECREATION CENTRE - Rink 1 (B),175,72,B,Undersized(less than 185X85),PFR,Yes,31 GLEN WATFORD DR,M1S 2B7,Scarborough,23,"{'type': 'MultiPoint', 'coordinates': [[-79.2757520164, 43.7885003834]]}"
2,AGINCOURT RECREATION CENTRE,44346,AGINCOURT RECREATION CENTRE - Indoor Ice Pad (2),AGINCOURT RECREATION CENTRE - Rink 2 (B),175,72,B,Undersized(less than 185X85),PFR,Yes,31 GLEN WATFORD DR,M1S 2B7,Scarborough,23,"{'type': 'MultiPoint', 'coordinates': [[-79.2757520164, 43.7885003834]]}"
3,ALBION ARENA,17324,ALBION ARENA - Indoor Ice Pad,ALBION ARENA - Rink (A),185,85,A,Regular(185X85),PFR,Yes,1501 ALBION RD,M9V 1B2,Etobicoke York,01,"{'type': 'MultiPoint', 'coordinates': [[-79.5828304831, 43.7395625012]]}"
4,AMESBURY SPORTS COMPLEX,17361,AMESBURY SPORTS COMPLEX - Indoor Ice Pad,AMESBURY SPORTS COMPLEX - Rink (A),185,85,A,Regular(185X85),PFR,Yes,155 CULFORD RD,M6M 4K6,Etobicoke York,05,"{'type': 'MultiPoint', 'coordinates': [[-79.486779201, 43.7060292772]]}"
5,ANGELA JAMES ARENA,17325,ANGELA JAMES ARENA - Indoor Ice Pad,ANGELA JAMES ARENA - Rink (A),185,85,A,Regular(185X85),PFR,Yes,165 GRENOBLE DR,M3C 3E7,North York,16,"{'type': 'MultiPoint', 'coordinates': [[-79.3276349798, 43.713147967]]}"
6,BAYCREST ARENA,17326,BAYCREST ARENA - Indoor Ice Pad,BAYCREST ARENA - Rink (A),185,85,A,Regular(185X85),PFR,Yes,160 NEPTUNE DR,M6A 1X4,North York,08,"{'type': 'MultiPoint', 'coordinates': [[-79.4431358631, 43.7289472249]]}"
7,BAYVIEW ARENA,17327,BAYVIEW ARENA - Indoor Ice Pad,BAYVIEW ARENA - Rink (A),185,85,A,Regular(185X85),PFR,Yes,3230 BAYVIEW AVE,M2M 3R7,North York,18,"{'type': 'MultiPoint', 'coordinates': [[-79.3936846864, 43.787958462]]}"
8,CENTENNIAL PARK ARENA - ETOBICOKE,17328,CENTENNIAL PARK ARENA - ETOBICOKE - Indoor Ice Pad (1),CENTENNIAL PARK ARENA - ETOBICOKE - East Rink (A),185,85,A,Regular(185X85),PFR,Yes,156 CENTENNIAL PARK RD,M9C 5N3,Etobicoke York,02,"{'type': 'MultiPoint', 'coordinates': [[-79.585875733, 43.6560858125]]}"
9,CENTENNIAL PARK ARENA - ETOBICOKE,44349,CENTENNIAL PARK ARENA - ETOBICOKE - Indoor Ice Pad (2),CENTENNIAL PARK ARENA - ETOBICOKE - West Rink (A),185,85,A,Regular(185X85),PFR,Yes,156 CENTENNIAL PARK RD,M9C 5N3,Etobicoke York,02,"{'type': 'MultiPoint', 'coordinates': [[-79.585875733, 43.6560858125]]}"
10,CENTENNIAL RECREATION CENTRE - SCARBOROUGH,17363,CENTENNIAL RECREATION CENTRE - SCARBOROUGH - Indoor Ice Pad (1),CENTENNIAL RECREATION CENTRE - SCARBOROUGH - Rink (A),180,80,A,Undersized(less than 185X85),PFR,Yes,1967 ELLESMERE RD,M1H 2W5,Scarborough,24,"{'type': 'MultiPoint', 'coordinates': [[-79.2370287071, 43.7745337703]]}"
11,CENTENNIAL RECREATION CENTRE - SCARBOROUGH,44345,CENTENNIAL RECREATION CENTRE - SCARBOROUGH - Indoor Ice Pad (2),CENTENNIAL RECREATION CENTRE - SCARBOROUGH -  Ice Galaxy (A),200,100,A,International(200X100),PFR,No,1967 ELLESMERE RD,M1H 2W5,Scarborough,24,"{'type': 'MultiPoint', 'coordinates': [[-79.2370287071, 43.7745337703]]}"
12,CENTRAL ARENA,17329,CENTRAL ARENA - Indoor Ice Pad,CENTRAL ARENA - Rink (A),185,85,A,Regular(185X85),PFR,Yes,50 MONTGOMERY RD,M8X 1Z4,Etobicoke York,03,"{'type': 'MultiPoint', 'coordinates': [[-79.5202681652, 43.6485495679]]}"
13,CHRIS TONKS ARENA,17330,CHRIS TONKS ARENA - Indoor Ice Pad,CHRIS TONKS ARENA - Rink (A),180,80,A,Undersized(less than 185X85),PFR,Yes,95 BLACK CREEK DR,M6N 2K6,Etobicoke York,05,"{'type': 'MultiPoint', 'coordinates': [[-79.4788670928, 43.6876680715]]}"
14,COMMANDER RECREATION CENTRE,17364,COMMANDER RECREATION CENTRE - Indoor Ice Pad (1),COMMANDER RECREATION CENTRE - Rink 1 (A),200,85,A,NHL(200X85),PFR,Yes,140 COMMANDER BLVD,M1S 3H7,Scarborough,23,"{'type': 'MultiPoint', 'coordinates': [[-79.2678467678, 43.7950376054]]}"
15,COMMANDER RECREATION CENTRE,44344,COMMANDER RECREATION CENTRE - Indoor Ice Pad (2),COMMANDER RECREATION CENTRE - Rink 2 (A),200,85,A,NHL(200X85),PFR,Yes,140 COMMANDER BLVD,M1S 3H7,Scarborough,23,"{'type': 'MultiPoint', 'coordinates': [[-79.2678467678, 43.7950376054]]}"
16,CUMMER PARK COMMUNITY CENTRE,17365,CUMMER PARK COMMUNITY CENTRE - Indoor Ice Pad,CUMMER PARK COMMUNITY CENTRE - Rink (A),185,85,A,Regular(185X85),PFR,Yes,6000 LESLIE ST,M2H 1J9,North York,17,"{'type': 'MultiPoint', 'coordinates': [[-79.3712734059, 43.8001014484]]}"
17,DON MILLS CIVITAN ARENA,17331,DON MILLS CIVITAN ARENA - Indoor Ice Pad,DON MILLS CIVITAN ARENA - Rink (A),185,85,A,Regular(185X85),PFR,Yes,1030 DON MILLS RD,M3C 1W6,North York,16,"{'type': 'MultiPoint', 'coordinates': [[-79.3438250678, 43.7331190547]]}"
18,DON MONTGOMERY COMMUNITY RECREATION CENTRE,17366,DON MONTGOMERY COMMUNITY RECREATION CENTRE - Indoor Ice Pad (1),DON MONTGOMERY COMMUNITY RECREATION CENTRE - Rink 1 (A),185,85,A,Regular(185X85),PFR,Yes,2467 EGLINTON AVE E,M1K 2R1,Scarborough,20,"{'type': 'MultiPoint', 'coordinates': [[-79.2616994254, 43.7326290273]]}"
19,DON MONTGOMERY COMMUNITY RECREATION CENTRE,44343,DON MONTGOMERY COMMUNITY RECREATION CENTRE - Indoor Ice Pad (2),DON MONTGOMERY COMMUNITY RECREATION CENTRE - Rink 2 (A),185,85,A,Regular(185X85),PFR,Yes,2467 EGLINTON AVE E,M1K 2R1,Scarborough,20,"{'type': 'MultiPoint', 'coordinates': [[-79.2616994254, 43.7326290273]]}"
20,DOWNSVIEW ARENA,17332,DOWNSVIEW ARENA - Indoor Ice Pad,DOWNSVIEW ARENA - Rink (A),185,85,A,Regular(185X85),PFR,Yes,1633 WILSON AVE,M3L 1A5,Etobicoke York,07,"{'type': 'MultiPoint', 'coordinates': [[-79.5126109653, 43.7190264409]]}"
21,EAST YORK MEMORIAL ARENA,17333,EAST YORK MEMORIAL ARENA - Indoor Ice Pad,EAST YORK MEMORIAL ARENA - Rink (A),180,76,A,Undersized(less than 185X85),PFR,Yes,888 COSBURN AVE,M4C 2W6,Toronto and East York,19,"{'type': 'MultiPoint', 'coordinates': [[-79.3153105933, 43.6974470705]]}"
22,FENSIDE ARENA,17334,FENSIDE ARENA - Indoor Ice Pad,FENSIDE ARENA - Rink (A),185,85,A,Regular(185X85),PFR,Yes,30 SLIDELL CRES,M3A 2C4,North York,16,"{'type': 'MultiPoint', 'coordinates': [[-79.3270927189, 43.76435434]]}"
